ID,date,zipcode,lat,long,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,price
503,20141023T000000,98146,47.5132,-122.384,4.0,2.5,1620.0,,2.0,0.0,0.0,,7.0,1620.0,0.0,,1971.0,1590.0,5280.0,385000.0
995,20150321T000000,98107,47.6748,-122.371,3.0,2.0,1260.0,2500.0,1.0,,0.0,4.0,7.0,750.0,510.0,1987.0,0.0,1710.0,5000.0,503000.0
261,20140516T000000,98028,47.7651,-122.246,3.0,3.0,1970.0,24318.0,1.0,,0.0,3.0,8.0,1970.0,0.0,2010.0,0.0,2150.0,14695.0,445000.0
219,20141212T000000,98146,47.5108,-122.366,4.0,1.0,2370.0,30200.0,1.5,0.0,0.0,4.0,7.0,1570.0,800.0,1948.0,,1640.0,9719.0,399888.0
53,20150410T000000,98136,47.5305,-122.391,5.0,2.25,2240.0,5500.0,1.0,0.0,0.0,3.0,7.0,1490.0,750.0,1959.0,0.0,2010.0,6050.0,480000.0
1025,20140516T000000,98117,47.6865,-122.399,2.0,1.0,1160.0,,1.0,0.0,0.0,4.0,,1160.0,0.0,1937.0,,,5000.0,490000.0
388,20140514T000000,98053,47.6303,-121.99,4.0,2.5,2470.0,33305.0,2.0,0.0,0.0,3.0,9.0,2470.0,0.0,1993.0,0.0,2440.0,33305.0,633100.0
1080,20141016T000000,98005,47.589,-122.156,4.0,2.5,2230.0,,1.0,0.0,0.0,,7.0,1220.0,1010.0,1957.0,0.0,1920.0,7200.0,556000.0
495,20140530T000000,98028,47.776,-122.239,3.0,2.5,1860.0,3690.0,2.0,,0.0,3.0,7.0,1860.0,0.0,2000.0,0.0,,4394.0,384950.0
968,20140620T000000,98056,47.511,-122.172,3.0,1.0,1300.0,8160.0,1.0,0.0,0.0,4.0,7.0,1300.0,0.0,1960.0,0.0,1290.0,8970.0,237000.0
1096,20140627T000000,98148,47.431,-122.335,4.0,3.0,,10000.0,2.0,,0.0,3.0,,2530.0,0.0,2013.0,0.0,1420.0,9898.0,459000.0
1424,20141230T000000,98008,47.627,-122.114,4.0,3.0,1780.0,7260.0,1.0,0.0,,4.0,8.0,,0.0,1964.0,,1810.0,7920.0,538200.0
1348,20140926T000000,98075,47.592,-121.989,4.0,3.5,3320.0,,,0.0,0.0,3.0,9.0,3320.0,0.0,2005.0,0.0,3160.0,9226.0,786000.0
1265,20140820T000000,98058,47.4302,-122.095,4.0,5.5,,217374.0,1.0,0.0,0.0,3.0,11.0,5400.0,1150.0,,0.0,4110.0,50378.0,1500000.0
877,20150428T000000,98056,47.4934,-122.173,,1.0,740.0,5200.0,1.0,0.0,0.0,4.0,5.0,740.0,0.0,1952.0,0.0,750.0,5200.0,213800.0
1356,20140903T000000,98074,47.6009,-122.011,4.0,,4330.0,26162.0,2.0,0.0,,3.0,11.0,4330.0,,1997.0,0.0,5110.0,26319.0,1209000.0
768,20140519T000000,98045,47.5015,-121.773,,2.5,1920.0,15124.0,2.0,0.0,0.0,3.0,8.0,,0.0,,,,16477.0,429000.0
510,20141120T000000,98038,47.3537,-122.018,4.0,3.5,,,2.0,0.0,0.0,3.0,,2690.0,0.0,2007.0,0.0,2210.0,4046.0,359950.0
914,20141118T000000,98056,47.5078,-122.169,,,3370.0,4850.0,2.0,0.0,0.0,3.0,9.0,3370.0,0.0,2007.0,,2900.0,5570.0,540000.0
973,20141219T000000,98115,47.6768,-122.285,,2.0,2080.0,7020.0,1.0,0.0,,4.0,7.0,1040.0,1040.0,1951.0,0.0,1920.0,7000.0,555000.0
1432,20141002T000000,98008,47.6336,-122.115,7.0,2.25,,8145.0,2.0,,0.0,5.0,8.0,3260.0,0.0,1967.0,0.0,2340.0,8145.0,770000.0
878,20140514T000000,98056,47.4924,-122.175,2.0,1.0,700.0,5200.0,,0.0,0.0,5.0,6.0,700.0,0.0,1952.0,0.0,1030.0,5200.0,155000.0
1109,20141125T000000,98058,47.422,-122.066,2.0,1.0,720.0,212137.0,,0.0,0.0,3.0,5.0,720.0,0.0,1982.0,0.0,2010.0,109642.0,150000.0
413,20141219T000000,98008,47.5974,-122.129,3.0,1.0,,,,0.0,,4.0,,1010.0,140.0,1950.0,0.0,2460.0,,450000.0
802,20141022T000000,98115,47.6846,-122.268,4.0,2.5,2960.0,26742.0,1.0,0.0,3.0,3.0,8.0,1480.0,1480.0,1949.0,1996.0,2500.0,9460.0,1161000.0
1565,20140807T000000,98055,47.4406,-122.196,4.0,1.0,1900.0,8505.0,1.0,0.0,0.0,3.0,7.0,1200.0,,1956.0,0.0,1440.0,8505.0,270000.0
1582,20141107T000000,98022,47.1996,-122.003,4.0,1.5,2700.0,14760.0,1.5,0.0,0.0,5.0,9.0,2700.0,0.0,1940.0,0.0,1670.0,7200.0,415000.0
1419,20141027T000000,98008,47.6297,-122.114,,2.0,2030.0,,1.0,0.0,0.0,3.0,7.0,,920.0,1963.0,0.0,1930.0,7990.0,472000.0
532,20141118T000000,98019,47.7456,-121.984,,2.5,,2577.0,2.0,0.0,0.0,3.0,7.0,1570.0,0.0,2005.0,0.0,1970.0,,299950.0
310,20140508T000000,98178,47.4933,-122.275,3.0,2.5,1190.0,3000.0,,0.0,0.0,3.0,,1190.0,0.0,2002.0,,1190.0,,229000.0
908,20150321T000000,98056,47.5082,-122.166,3.0,2.0,2030.0,8649.0,1.0,0.0,0.0,,7.0,2030.0,,1998.0,0.0,,7200.0,365000.0
1485,20140527T000000,98023,47.3181,-122.344,5.0,4.5,,,2.0,,0.0,3.0,10.0,,0.0,2001.0,,1640.0,13503.0,569950.0
637,20141210T000000,98027,47.5341,-122.067,3.0,3.5,2490.0,,2.0,0.0,0.0,3.0,8.0,1720.0,770.0,2005.0,0.0,1600.0,2378.0,533500.0
343,20150312T000000,98116,47.5651,-122.391,4.0,2.75,2410.0,5650.0,1.5,0.0,0.0,5.0,8.0,2070.0,340.0,1909.0,0.0,1960.0,,745000.0
695,20140523T000000,98001,47.327,-122.267,,1.0,1300.0,44431.0,1.0,0.0,,5.0,6.0,1300.0,,1958.0,0.0,1470.0,,175000.0
9,20141112T000000,98032,47.4023,-122.273,3.0,1.0,1340.0,21336.0,1.5,0.0,0.0,4.0,,1340.0,0.0,1945.0,0.0,1340.0,37703.0,281000.0
947,20141202T000000,98033,47.6775,-122.165,3.0,2.5,1860.0,10027.0,2.0,0.0,0.0,3.0,8.0,1860.0,0.0,1993.0,,1530.0,9204.0,625000.0
1328,20140918T000000,98077,47.7406,-122.07,,2.5,3490.0,18521.0,2.0,0.0,0.0,,,3490.0,0.0,1990.0,0.0,2850.0,18521.0,734000.0
1451,20141020T000000,98005,47.6386,-122.183,3.0,2.25,2260.0,33080.0,1.0,,0.0,5.0,9.0,1690.0,570.0,1974.0,0.0,3020.0,35291.0,778000.0
1514,20140722T000000,98146,47.4901,-122.341,3.0,1.5,1200.0,,1.0,0.0,0.0,4.0,7.0,1200.0,0.0,1959.0,0.0,1450.0,9315.0,279500.0
1110,20150127T000000,98058,47.4239,-122.068,4.0,3.0,2620.0,214750.0,2.0,0.0,0.0,3.0,8.0,,,1992.0,0.0,2060.0,212137.0,678500.0
1311,20140813T000000,98033,47.6803,-122.214,5.0,4.0,4230.0,27295.0,2.0,,4.0,3.0,8.0,,1000.0,1949.0,1985.0,2660.0,,2700000.0
1227,20140512T000000,98070,47.3979,-122.465,,1.75,2040.0,28593.0,1.5,,3.0,4.0,7.0,2040.0,0.0,1919.0,1990.0,2040.0,35124.0,615000.0
736,20141105T000000,98042,47.4193,-122.149,3.0,1.5,1420.0,22100.0,1.0,0.0,0.0,5.0,7.0,1420.0,0.0,1957.0,0.0,1540.0,,269900.0
1042,20141003T000000,98107,47.6719,-122.392,2.0,2.0,1400.0,1512.0,2.0,,,3.0,8.0,,460.0,,0.0,,3500.0,553000.0
904,20141024T000000,98188,47.4239,-122.292,3.0,1.5,1330.0,6540.0,1.0,,0.0,3.0,7.0,900.0,430.0,1971.0,0.0,1400.0,11500.0,239000.0
166,20140619T000000,98117,47.701,-122.368,3.0,,1310.0,8065.0,1.0,,,,6.0,1310.0,0.0,1948.0,,1420.0,8100.0,435000.0
706,20141016T000000,98075,47.5851,-122.034,4.0,2.5,2830.0,8399.0,2.0,0.0,0.0,3.0,9.0,2830.0,0.0,1998.0,,2520.0,6890.0,680000.0
294,20140702T000000,98042,47.3531,-122.147,4.0,2.5,2105.0,6093.0,2.0,0.0,0.0,3.0,8.0,2105.0,0.0,2003.0,0.0,,8022.0,330000.0
1122,20140606T000000,98004,47.5979,-122.197,4.0,3.5,4280.0,9583.0,2.0,0.0,0.0,3.0,11.0,,0.0,,0.0,2360.0,10031.0,1600000.0
1336,20150227T000000,98004,47.5845,-122.199,3.0,2.5,2910.0,10044.0,,0.0,0.0,,10.0,2910.0,0.0,1989.0,0.0,2420.0,12287.0,1398000.0
1279,20141022T000000,98146,47.5113,-122.347,3.0,2.0,1030.0,,1.0,0.0,0.0,3.0,6.0,1030.0,,1947.0,0.0,1380.0,8100.0,260000.0
198,20140821T000000,98028,47.7552,-122.229,3.0,,,,1.0,,0.0,3.0,,1760.0,260.0,1949.0,0.0,1780.0,14469.0,415000.0
466,20150408T000000,98188,47.425,-122.283,4.0,2.75,3550.0,13938.0,1.0,0.0,,5.0,,2100.0,1450.0,1966.0,0.0,2050.0,,469000.0
1113,20150327T000000,98038,47.4188,-121.949,3.0,2.5,,,1.0,,0.0,4.0,8.0,2530.0,0.0,1980.0,0.0,2120.0,100623.0,700000.0
731,20150427T000000,98092,47.3343,-122.16,3.0,1.75,,61419.0,1.0,0.0,0.0,4.0,8.0,1450.0,0.0,,0.0,2256.0,82328.0,365000.0
897,20141104T000000,98092,47.3388,-122.166,3.0,,1397.0,18000.0,1.0,0.0,0.0,,7.0,1397.0,0.0,1965.0,2014.0,1950.0,31294.0,257000.0
646,20140819T000000,98126,47.5325,-122.378,3.0,1.5,2050.0,6384.0,1.0,0.0,0.0,3.0,,1350.0,700.0,1958.0,0.0,,7214.0,442000.0
1233,20140616T000000,98118,47.5218,-122.286,3.0,1.5,2040.0,6000.0,1.0,0.0,0.0,,7.0,1340.0,700.0,1957.0,0.0,1190.0,,335000.0
705,20141231T000000,98075,47.5847,-122.032,4.0,,2510.0,5936.0,2.0,0.0,0.0,3.0,9.0,2510.0,0.0,1998.0,,,6060.0,665000.0
348,20140602T000000,98072,47.7648,-122.164,3.0,,,5569.0,1.0,0.0,,,9.0,,1070.0,2004.0,0.0,,11045.0,559900.0
1193,20150421T000000,98144,47.5928,-122.295,4.0,,2100.0,,3.0,0.0,0.0,,,1580.0,520.0,2008.0,0.0,1490.0,1201.0,546000.0
433,20141208T000000,98117,47.6886,-122.388,4.0,2.5,2180.0,3893.0,2.0,0.0,0.0,3.0,8.0,,0.0,1999.0,0.0,1710.0,4550.0,726500.0
624,20150225T000000,98146,47.5058,-122.384,3.0,1.0,1260.0,,1.0,0.0,3.0,3.0,7.0,1260.0,0.0,1951.0,0.0,2020.0,6600.0,550000.0
1225,20150429T000000,98023,47.3244,-122.379,3.0,2.75,3580.0,14217.0,2.0,0.0,,,10.0,2210.0,1370.0,,0.0,3990.0,14674.0,600000.0
1462,20140724T000000,98038,47.3812,-122.029,3.0,2.5,,10763.0,2.0,0.0,0.0,3.0,7.0,1660.0,0.0,1994.0,0.0,2010.0,7983.0,315000.0
998,20150422T000000,98107,47.674,-122.371,4.0,2.5,2740.0,,2.0,0.0,0.0,3.0,9.0,2740.0,0.0,2012.0,0.0,,,1070000.0
265,20150402T000000,98072,47.7617,-122.11,4.0,1.0,1020.0,42966.0,1.5,0.0,0.0,4.0,6.0,1020.0,,1922.0,0.0,,37680.0,200000.0
1553,20150113T000000,98030,47.3591,-122.201,4.0,2.5,2156.0,3562.0,2.0,0.0,0.0,3.0,9.0,2156.0,0.0,,0.0,1708.0,3539.0,347500.0
1471,20140725T000000,98004,47.5923,-122.197,,1.75,2040.0,,1.0,,,4.0,7.0,1340.0,700.0,1952.0,,2120.0,9587.0,730000.0
513,20140918T000000,98038,47.371,-122.018,3.0,2.5,2420.0,,,0.0,0.0,3.0,8.0,2420.0,0.0,2014.0,0.0,,,367899.0
881,20140917T000000,98056,47.492,-122.172,4.0,1.0,1170.0,5400.0,1.0,0.0,0.0,5.0,6.0,1170.0,0.0,1953.0,0.0,1100.0,5400.0,299950.0
1163,20141028T000000,98038,47.3539,-122.024,5.0,2.5,2070.0,4698.0,2.0,0.0,0.0,,7.0,2070.0,0.0,1999.0,0.0,2010.0,4698.0,337500.0
1334,20150217T000000,98004,47.5862,-122.202,3.0,2.75,2800.0,9750.0,1.0,0.0,0.0,5.0,7.0,1400.0,1400.0,1957.0,0.0,2800.0,9530.0,915000.0
672,20150205T000000,98059,47.5047,-122.144,3.0,2.5,3190.0,,,0.0,,,9.0,3190.0,0.0,2006.0,0.0,2970.0,7828.0,495500.0
1199,20140912T000000,98144,47.5923,-122.296,2.0,2.5,,1296.0,2.0,,0.0,3.0,,,300.0,2008.0,0.0,1460.0,1296.0,449000.0
931,20150112T000000,98075,47.5938,-122.048,4.0,2.5,2950.0,,2.0,0.0,0.0,3.0,10.0,2950.0,0.0,1986.0,0.0,2870.0,34417.0,835000.0
205,20140804T000000,98022,47.2492,-121.975,3.0,2.5,2920.0,169448.0,2.5,0.0,,3.0,,2920.0,0.0,1990.0,0.0,2360.0,326097.0,550000.0
322,20140926T000000,98040,47.5641,-122.221,4.0,3.5,3500.0,9525.0,2.0,0.0,0.0,3.0,10.0,3500.0,0.0,1999.0,,,9525.0,1350000.0
1484,20140626T000000,98022,47.2407,-121.953,3.0,,3320.0,478288.0,,0.0,3.0,4.0,8.0,2260.0,1060.0,1933.0,1982.0,2960.0,217800.0,667000.0
589,20140603T000000,98008,47.626,-122.104,5.0,2.5,2070.0,12000.0,1.0,0.0,0.0,4.0,7.0,1340.0,730.0,1967.0,0.0,2090.0,12000.0,613000.0
1504,20140523T000000,98146,47.4899,-122.337,3.0,1.0,1700.0,,1.0,0.0,0.0,3.0,6.0,1700.0,0.0,1955.0,,,7980.0,149000.0
978,20150429T000000,98115,47.6932,-122.3,4.0,2.25,2440.0,9889.0,1.0,0.0,0.0,3.0,7.0,,900.0,1952.0,0.0,1710.0,6284.0,805000.0
1099,20140612T000000,98055,47.4261,-122.199,2.0,1.0,820.0,10450.0,1.0,0.0,0.0,4.0,7.0,820.0,0.0,1965.0,,1240.0,11200.0,173000.0
481,20140929T000000,98004,47.6335,-122.196,4.0,1.75,,9293.0,1.0,0.0,0.0,,7.0,1350.0,0.0,1954.0,0.0,1890.0,9293.0,626000.0
1171,20150422T000000,98117,47.6903,-122.38,5.0,,1690.0,2402.0,1.5,0.0,,3.0,,990.0,700.0,1930.0,0.0,1200.0,4005.0,515000.0
1368,20150331T000000,98033,47.6888,-122.203,,1.75,1690.0,7794.0,1.0,0.0,0.0,3.0,,1090.0,600.0,1968.0,0.0,1380.0,7325.0,548000.0
144,20150224T000000,98023,47.3141,-122.355,3.0,1.75,1080.0,7942.0,1.0,0.0,0.0,3.0,7.0,1080.0,,1981.0,0.0,1380.0,8244.0,115000.0
20,20140923T000000,98007,47.6176,-122.14,3.0,2.5,1910.0,4488.0,2.0,0.0,0.0,3.0,8.0,1910.0,0.0,1998.0,,1530.0,3696.0,617000.0
508,20141106T000000,98038,47.3535,-122.017,4.0,2.5,2020.0,3600.0,2.0,0.0,0.0,3.0,7.0,2020.0,0.0,2012.0,0.0,2210.0,,345000.0
1277,20141121T000000,98146,47.5093,-122.345,3.0,,,9060.0,2.0,,0.0,3.0,7.0,1550.0,0.0,1948.0,1979.0,1080.0,7620.0,225000.0
863,20140827T000000,98155,47.7512,-122.318,4.0,1.0,1360.0,5900.0,1.5,0.0,0.0,4.0,7.0,1360.0,0.0,1949.0,0.0,1050.0,5900.0,329950.0
11,20150424T000000,98055,47.484,-122.211,2.0,1.0,840.0,12750.0,,0.0,,,6.0,840.0,0.0,,0.0,1480.0,6969.0,175000.0
1013,20140619T000000,98117,47.6808,-122.376,3.0,1.75,1840.0,5000.0,1.0,,0.0,,,,920.0,1910.0,,1220.0,5000.0,499000.0
1287,20141208T000000,98077,47.7234,-122.066,3.0,,2930.0,19900.0,1.5,0.0,0.0,3.0,9.0,2930.0,0.0,1983.0,0.0,3160.0,20492.0,645000.0
1066,20140630T000000,98103,47.6621,-122.33,5.0,3.0,2870.0,5700.0,1.0,0.0,0.0,3.0,7.0,1950.0,920.0,1964.0,0.0,1730.0,5529.0,765000.0
1496,20141017T000000,98038,47.4032,-121.963,3.0,2.5,2080.0,,1.0,0.0,0.0,3.0,,,0.0,2000.0,0.0,2080.0,55321.0,610000.0
630,20150116T000000,98027,47.5345,-122.069,3.0,2.5,1600.0,,2.0,0.0,0.0,3.0,8.0,1600.0,0.0,,0.0,1410.0,,400000.0
328,20140811T000000,98040,47.5633,-122.218,,2.25,,9525.0,2.0,,0.0,4.0,9.0,2910.0,0.0,1968.0,0.0,2740.0,9525.0,870000.0
79,20150114T000000,98042,47.342,-122.059,3.0,2.5,1870.0,4046.0,2.0,0.0,0.0,,7.0,,0.0,,0.0,2130.0,4800.0,248000.0
642,20150406T000000,98004,47.6005,-122.204,,2.5,2350.0,14197.0,1.0,0.0,0.0,,8.0,,1130.0,1962.0,,2470.0,11629.0,895000.0
122,20140520T000000,98075,47.5823,-121.97,4.0,2.5,3230.0,7331.0,2.0,0.0,0.0,,10.0,3230.0,0.0,2004.0,0.0,,7447.0,730000.0
473,20140929T000000,98166,47.4552,-122.354,4.0,1.0,1560.0,8450.0,1.5,0.0,0.0,4.0,6.0,1560.0,0.0,1954.0,0.0,1380.0,8100.0,305000.0
132,20150311T000000,98075,47.5841,-121.971,4.0,2.5,3880.0,7208.0,2.0,0.0,0.0,,10.0,,0.0,2006.0,0.0,3280.0,7221.0,815000.0
600,20140730T000000,98199,47.6415,-122.392,3.0,4.0,2550.0,3900.0,2.0,0.0,2.0,3.0,8.0,2050.0,500.0,1940.0,2003.0,2340.0,6400.0,990000.0
599,20140516T000000,98199,47.6426,-122.388,3.0,2.0,2220.0,6641.0,,0.0,2.0,4.0,7.0,1220.0,1000.0,1947.0,0.0,1800.0,5900.0,875000.0
371,20140729T000000,98053,47.6328,-121.964,,,3760.0,,2.0,0.0,0.0,,9.0,2950.0,810.0,1998.0,0.0,2870.0,28945.0,740000.0
665,20140711T000000,98029,47.5557,-122.027,5.0,4.5,4300.0,,2.0,0.0,0.0,3.0,10.0,4300.0,0.0,2004.0,0.0,3950.0,12250.0,975000.0
387,20140915T000000,98053,47.6304,-121.988,,2.5,,32772.0,2.0,0.0,0.0,,9.0,2320.0,0.0,1992.0,0.0,2610.0,,630000.0
1164,20150501T000000,98038,47.3539,-122.025,3.0,2.5,1580.0,4698.0,2.0,0.0,0.0,3.0,7.0,,0.0,1998.0,0.0,2070.0,,325000.0
139,20140813T000000,98023,47.3018,-122.369,3.0,1.0,1430.0,7000.0,1.0,0.0,0.0,,,1430.0,,1968.0,0.0,1050.0,7700.0,213950.0
1524,20140915T000000,98027,47.4985,-122.092,2.0,1.75,,114562.0,1.0,0.0,0.0,4.0,7.0,2040.0,0.0,1968.0,0.0,1850.0,94960.0,499000.0
443,20140728T000000,98177,47.7735,-122.378,6.0,2.5,2800.0,10490.0,1.0,,0.0,3.0,7.0,1400.0,1400.0,1968.0,0.0,2290.0,,442500.0
924,20140721T000000,98075,47.5924,-122.048,4.0,2.25,2470.0,,,0.0,0.0,4.0,8.0,2470.0,0.0,,0.0,2470.0,31798.0,625000.0
1554,20141110T000000,98030,47.3582,-122.2,4.0,2.5,1785.0,2552.0,2.0,0.0,0.0,3.0,8.0,1785.0,0.0,2009.0,0.0,1691.0,2700.0,282000.0
428,20140908T000000,98117,47.6833,-122.398,2.0,1.0,1530.0,6450.0,1.0,0.0,0.0,4.0,7.0,1530.0,0.0,1920.0,0.0,1530.0,5000.0,590000.0
146,20150211T000000,98023,47.3124,-122.352,3.0,2.25,1500.0,7210.0,1.0,0.0,,3.0,7.0,1150.0,350.0,1984.0,0.0,1500.0,7210.0,230000.0
806,20150318T000000,98034,47.7037,-122.24,3.0,1.75,,16300.0,2.0,0.0,0.0,3.0,9.0,2330.0,0.0,1964.0,0.0,2330.0,16300.0,690000.0
1330,20140729T000000,98008,47.5854,-122.114,,3.0,2900.0,10400.0,1.0,0.0,3.0,5.0,8.0,1530.0,1370.0,,0.0,2820.0,10400.0,930000.0
1249,20150406T000000,98022,47.1622,-121.971,3.0,2.5,2350.0,715690.0,1.5,0.0,0.0,4.0,9.0,2350.0,0.0,1979.0,,1280.0,325393.0,750000.0
1267,20140616T000000,98038,47.4193,-121.958,4.0,,2040.0,109336.0,1.5,0.0,0.0,4.0,8.0,2040.0,0.0,1973.0,,2370.0,133729.0,375000.0
1353,20150123T000000,98001,47.2589,-122.256,3.0,2.5,1750.0,6351.0,,0.0,0.0,3.0,,1750.0,0.0,2012.0,,1398.0,6092.0,250000.0
358,20140711T000000,98052,47.7222,-122.108,3.0,1.75,1450.0,6829.0,1.0,0.0,0.0,3.0,8.0,1450.0,0.0,1983.0,0.0,1950.0,7622.0,440000.0
183,20150430T000000,98028,47.7668,-122.243,,2.25,,9540.0,2.0,0.0,0.0,,8.0,2160.0,0.0,1979.0,,1720.0,12593.0,402500.0
52,20140919T000000,98136,47.5289,-122.391,3.0,2.0,3030.0,9374.0,1.0,0.0,1.0,4.0,7.0,2100.0,930.0,1959.0,0.0,1990.0,6012.0,590000.0
283,20140619T000000,98116,47.5747,-122.414,2.0,2.5,2540.0,7089.0,2.0,0.0,0.0,3.0,9.0,2540.0,0.0,,,1330.0,7089.0,945000.0
103,20140714T000000,98055,47.4562,-122.196,,1.0,1170.0,9730.0,1.0,0.0,0.0,3.0,7.0,1170.0,0.0,,1986.0,1680.0,10125.0,252000.0
826,20140908T000000,98022,47.1967,-121.998,3.0,1.75,,7830.0,1.0,0.0,0.0,3.0,7.0,,0.0,1980.0,0.0,1130.0,7553.0,237500.0
349,20140710T000000,98033,47.6765,-122.175,5.0,2.5,3000.0,7912.0,1.0,0.0,0.0,3.0,9.0,1610.0,1390.0,2007.0,0.0,2700.0,7205.0,770000.0
82,20140626T000000,98116,47.5773,-122.406,3.0,2.75,2600.0,5875.0,1.5,0.0,2.0,5.0,,1600.0,,1929.0,0.0,2260.0,5492.0,805000.0
1074,20150505T000000,98055,47.4414,-122.189,4.0,2.25,1780.0,10416.0,1.0,0.0,0.0,5.0,7.0,1060.0,720.0,1963.0,,1780.0,9975.0,350000.0
862,20140826T000000,98133,47.7535,-122.354,3.0,1.75,1420.0,8250.0,1.0,0.0,0.0,3.0,7.0,1420.0,0.0,1954.0,0.0,1740.0,8000.0,265000.0
125,20140828T000000,98075,47.581,-121.971,4.0,,4090.0,11225.0,2.0,,0.0,3.0,10.0,4090.0,0.0,2005.0,0.0,,,885000.0
712,20150325T000000,98168,47.5054,-122.301,,,1360.0,7132.0,1.5,0.0,0.0,3.0,6.0,1360.0,0.0,1941.0,,1280.0,7175.0,235000.0
854,20140516T000000,98133,47.7466,-122.334,2.0,1.0,830.0,6017.0,,0.0,0.0,4.0,,830.0,0.0,1954.0,0.0,1340.0,6040.0,282613.0
290,20150206T000000,98116,47.5762,-122.415,3.0,2.5,2160.0,3920.0,2.0,,0.0,3.0,9.0,2160.0,,,,1500.0,4920.0,856000.0
1444,20140619T000000,98004,47.6005,-122.199,4.0,,3820.0,13224.0,,0.0,0.0,3.0,10.0,3280.0,540.0,1990.0,0.0,3340.0,9700.0,1240000.0
933,20150423T000000,98075,47.5944,-122.042,4.0,2.75,2440.0,69415.0,1.0,0.0,0.0,4.0,8.0,1910.0,530.0,1989.0,0.0,2770.0,,785000.0
43,20150312T000000,98002,47.3098,-122.209,4.0,1.0,1320.0,11212.0,1.0,0.0,0.0,5.0,6.0,1320.0,,1914.0,,1060.0,6766.0,250000.0
408,20141217T000000,98038,47.4219,-122.007,2.0,,,75794.0,,,0.0,4.0,7.0,1220.0,0.0,1963.0,0.0,2010.0,,300000.0
168,20141031T000000,98177,47.7019,-122.366,2.0,,840.0,8100.0,,0.0,0.0,4.0,7.0,840.0,0.0,1948.0,0.0,1100.0,8220.0,401000.0
59,20150414T000000,98168,47.4726,-122.282,5.0,2.5,,8428.0,2.0,0.0,0.0,3.0,7.0,,0.0,2013.0,0.0,1500.0,11810.0,380000.0
530,20141118T000000,98019,47.745,-121.984,3.0,2.5,2090.0,3002.0,,0.0,0.0,3.0,7.0,1670.0,420.0,2005.0,0.0,2090.0,3163.0,352000.0
1152,20150203T000000,98117,47.701,-122.362,2.0,2.5,1270.0,1242.0,3.0,0.0,0.0,3.0,7.0,1270.0,0.0,2008.0,0.0,,1199.0,348000.0
558,20141110T000000,98008,47.6348,-122.118,5.0,1.5,1420.0,9900.0,1.0,0.0,0.0,3.0,7.0,1050.0,370.0,,0.0,,8075.0,485000.0
1192,20141103T000000,98144,47.5926,-122.295,2.0,2.0,920.0,1201.0,2.0,0.0,0.0,3.0,8.0,800.0,120.0,2009.0,0.0,1150.0,1161.0,363000.0
756,20140827T000000,98027,47.5078,-122.018,4.0,2.75,3640.0,231739.0,1.5,,,,10.0,3640.0,0.0,1999.0,0.0,2670.0,91040.0,780000.0
1055,20140515T000000,98117,47.6765,-122.404,4.0,1.75,2930.0,11562.0,1.0,0.0,3.0,3.0,9.0,1670.0,1260.0,1947.0,0.0,2530.0,6517.0,840000.0
851,20140721T000000,98034,47.7244,-122.226,3.0,1.0,1060.0,9663.0,1.0,,0.0,,7.0,1060.0,0.0,1967.0,,1320.0,10162.0,326250.0
1458,20140903T000000,98038,47.3828,-122.023,3.0,2.25,2020.0,8379.0,2.0,0.0,0.0,3.0,7.0,,0.0,1994.0,0.0,,8031.0,328000.0
